start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,44.28949,0.99179,1.54252,0.92,87
,,,,,,,46.15917,0.98712,1.486,0.84,88
,,,,,,,42.73444,0.99472,1.4443,0.84,89
,,,,,,,50.11515,1.10588,1.48101,0.88,90
,,,,,,,44.33012,1.03965,1.53214,0.92,91
,,,,,,,48.64136,1.02805,1.4303,1.04,92
,,,,,,,50.79885,0.94799,1.48079,1.0,93
,,,,,,,46.93959,0.93913,1.39579,0.96,94
,,,,,,,47.15896,0.92908,1.52519,0.92,95
,,,,,,,48.99123,1.08335,1.56957,0.88,96
,,,,,,,50.76497,0.96317,1.53801,1.08,97
,,,,,,,47.47271,1.00489,1.52932,1.04,98
,,,,,,,51.9203,0.97387,1.53444,0.96,99
,,,,,,,52.25963,1.00803,1.56978,1.08,100
